user_id,city,signup_date,age_group,gender,acquisition_channel,zip_code
USR00001,"Los Angeles, CA",2023-01-05,46-55,Female,Organic Search,94444
USR00002,"Miami, FL",2024-04-10,26-35,Male,Paid Search,94040
USR00003,"Austin, TX",2024-06-17,26-35,Female,Organic Search,31644
USR00004,"Dallas, TX",2024-02-09,36-45,Female,Paid Search,72021
USR00005,"New York, NY",2024-05-27,26-35,Female,Paid Search,47125
USR00006,"New York, NY",2023-08-21,46-55,Female,Organic Search,76899
USR00007,"New York, NY",2024-06-07,46-55,Male,Organic Search,52291
USR00008,"San Francisco, CA",2023-12-12,36-45,Female,Paid Search,45060
USR00009,"Dallas, TX",2023-02-15,18-25,Female,Paid Search,11538
USR00010,"Austin, TX",2024-06-29,26-35,Female,Referral,46176
USR00011,"New York, NY",2023-03-19,36-45,Female,Referral,51520
USR00012,"Miami, FL",2023-03-14,55+,Male,Social Media,35675
USR00013,"San Francisco, CA",2023-09-06,36-45,Male,Referral,28287
USR00014,"New York, NY",2023-02-16,26-35,Male,Paid Search,10174
USR00015,"New York, NY",2023-05-01,36-45,Male,Referral,44998
USR00016,"New York, NY",2023-08-02,36-45,Female,Organic Search,63312
USR00017,"Los Angeles, CA",2023-08-27,36-45,Male,Paid Search,22112
USR00018,"Chicago, IL",2023-02-25,18-25,Female,Social Media,85225
USR00019,"Chicago, IL",2023-12-16,36-45,Female,Paid Search,54814
USR00020,"Los Angeles, CA",2023-04-17,36-45,Male,Social Media,95091
USR00021,"Dallas, TX",2023-02-17,55+,Female,Social Media,60719
USR00022,"New York, NY",2023-12-03,26-35,Male,Social Media,43919
USR00023,"Los Angeles, CA",2023-01-26,36-45,Female,Social Media,83155
USR00024,"Los Angeles, CA",2023-09-14,55+,Male,Paid Search,81569
USR00025,"Chicago, IL",2023-01-08,18-25,Male,Paid Search,51328
USR00026,"Austin, TX",2023-09-10,55+,Male,Referral,80482
USR00027,"New York, NY",2023-10-30,36-45,Male,Paid Search,34618
USR00028,"Chicago, IL",2023-02-25,18-25,Male,Referral,44675
USR00029,"Dallas, TX",2024-06-09,26-35,Female,Referral,28919
USR00030,"New York, NY",2024-04-18,36-45,Female,Referral,14173
USR00031,"Dallas, TX",2023-01-28,18-25,Female,Paid Search,36400
USR00032,"New York, NY",2023-03-19,36-45,Male,Organic Search,60445
USR00033,"New York, NY",2023-08-04,26-35,Female,Paid Search,80305
USR00034,"Miami, FL",2024-01-21,36-45,Male,Organic Search,47564
USR00035,"Miami, FL",2023-12-31,18-25,Female,Social Media,55814
USR00036,"San Francisco, CA",2024-06-09,46-55,Female,Paid Search,89747
USR00037,"Los Angeles, CA",2023-11-08,55+,Male,Organic Search,98791
USR00038,"New York, NY",2023-01-07,55+,Female,Organic Search,37962
USR00039,"Austin, TX",2023-01-03,36-45,Female,Referral,94892
USR00040,"Chicago, IL",2023-12-29,26-35,Female,Referral,95842
USR00041,"New York, NY",2024-05-22,36-45,Male,Paid Search,80533
USR00042,"Chicago, IL",2023-10-01,18-25,Male,Organic Search,66184
USR00043,"New York, NY",2024-05-20,18-25,Female,Paid Search,92912
USR00044,"Seattle, WA",2023-01-15,26-35,Female,Paid Search,20578
USR00045,"Los Angeles, CA",2023-07-11,26-35,Female,Referral,28624
USR00046,"Dallas, TX",2024-04-29,36-45,Male,Referral,49194
USR00047,"Los Angeles, CA",2023-01-28,36-45,Male,Paid Search,10389
USR00048,"Chicago, IL",2023-02-08,26-35,Female,Organic Search,77391
USR00049,"Dallas, TX",2023-09-30,26-35,Female,App Store,23794
USR00050,"New York, NY",2023-08-19,55+,Female,Paid Search,68002
USR00051,"Miami, FL",2023-03-27,26-35,Male,Referral,45531
USR00052,"Austin, TX",2024-04-18,26-35,Male,Organic Search,62815
USR00053,"Seattle, WA",2023-05-06,26-35,Female,Paid Search,14986
USR00054,"Seattle, WA",2024-06-20,46-55,Female,Organic Search,42298
USR00055,"Dallas, TX",2023-05-25,36-45,Female,Paid Search,11481
USR00056,"Seattle, WA",2024-06-08,26-35,Male,App Store,66408
USR00057,"New York, NY",2023-07-31,18-25,Female,Paid Search,79267
USR00058,"New York, NY",2023-01-25,36-45,Male,Organic Search,26835
USR00059,"New York, NY",2024-01-29,36-45,Male,Organic Search,37798
USR00060,"Los Angeles, CA",2023-03-08,26-35,Female,Paid Search,74887
USR00061,"Los Angeles, CA",2023-08-21,55+,Female,Organic Search,29477
USR00062,"Los Angeles, CA",2023-04-19,26-35,Female,Organic Search,27266
USR00063,"San Francisco, CA",2023-05-26,26-35,Male,Referral,96328
USR00064,"Los Angeles, CA",2023-04-21,55+,Male,Paid Search,95988
USR00065,"Los Angeles, CA",2023-08-16,26-35,Male,Organic Search,53526
USR00066,"Dallas, TX",2023-04-21,36-45,Female,Social Media,21889
USR00067,"New York, NY",2024-04-14,26-35,Female,Organic Search,34335
USR00068,"San Francisco, CA",2023-02-03,26-35,Male,App Store,21254
USR00069,"New York, NY",2024-01-04,55+,Male,Paid Search,96610
USR00070,"Denver, CO",2024-02-29,26-35,Female,Social Media,21442
USR00071,"Austin, TX",2024-06-01,46-55,Male,Referral,56289
USR00072,"New York, NY",2023-10-09,26-35,Male,Social Media,63747
USR00073,"New York, NY",2023-11-16,26-35,Male,App Store,47327
USR00074,"San Francisco, CA",2024-03-18,18-25,Male,Organic Search,26199
USR00075,"Austin, TX",2023-11-11,36-45,Male,App Store,82827
