service_id,service_name,category,base_price,duration_hours,min_price,max_price,is_popular
SVC001,Standard House Cleaning,Cleaning,99.0,2.5,79.0,149.0,True
SVC002,Deep House Cleaning,Cleaning,149.0,4.0,119.0,199.0,True
SVC003,Move-Out Cleaning,Cleaning,199.0,5.0,169.0,269.0,False
SVC004,Office Cleaning,Cleaning,129.0,3.0,99.0,179.0,False
SVC005,Pipe Repair,Plumbing,149.0,2.0,119.0,229.0,True
SVC006,Drain Unclogging,Plumbing,89.0,1.0,69.0,139.0,False
SVC007,Water Heater Install,Plumbing,399.0,4.0,329.0,499.0,False
SVC008,Outlet Installation,Electrical,119.0,1.5,89.0,169.0,True
SVC009,Breaker Box Repair,Electrical,249.0,3.0,199.0,349.0,False
SVC010,Ceiling Fan Install,Electrical,99.0,1.5,79.0,139.0,True
SVC011,Furniture Assembly,Handyman,79.0,2.0,59.0,129.0,True
SVC012,TV Mounting,Handyman,89.0,1.0,69.0,119.0,True
SVC013,Drywall Repair,Handyman,149.0,3.0,119.0,229.0,False
SVC014,Local Moving (2 Movers),Moving,299.0,4.0,249.0,399.0,True
SVC015,Long-Distance Moving,Moving,799.0,8.0,649.0,999.0,False
SVC016,Lawn Mowing,Lawn Care,59.0,1.5,45.0,89.0,True
SVC017,Full Lawn Service,Lawn Care,129.0,3.0,99.0,179.0,False
SVC018,AC Tune-Up,HVAC,129.0,2.0,99.0,179.0,True
SVC019,HVAC Installation,HVAC,899.0,6.0,749.0,1099.0,False
SVC020,Interior Room Painting,Painting,299.0,6.0,249.0,399.0,False
