booking_id,user_id,provider_id,service_id,city,booking_date,service_date,status,price_charged,discount_applied,payment_method,cancellation_reason,rating_given,is_repeat_booking,days_to_service
BKG000001,USR00115,PRV00033,SVC008,"Dallas, TX",2023-03-30,2023-04-01,completed,115.0,0.0,PayPal,,4.1,False,2
BKG000002,USR00229,PRV00034,SVC018,"Seattle, WA",2024-01-10,2024-01-16,completed,125.0,0.0,Credit Card,,4.5,False,6
BKG000003,USR00090,PRV00011,SVC001,"Chicago, IL",2023-11-21,2023-11-24,completed,95.0,0.0,Credit Card,,4.5,False,3
BKG000004,USR00096,PRV00095,SVC020,"Chicago, IL",2024-06-30,2024-07-07,completed,250.0,10.0,Credit Card,,4.5,False,7
BKG000005,USR00028,PRV00148,SVC018,"Chicago, IL",2023-11-01,2023-11-10,completed,150.0,0.0,Debit Card,,4.3,False,9
BKG000006,USR00430,PRV00085,SVC001,"New York, NY",2023-09-30,2023-10-07,completed,105.0,10.0,PayPal,,3.7,False,7
BKG000007,USR00164,PRV00033,SVC009,"Dallas, TX",2023-08-03,2023-08-09,completed,270.0,0.0,Credit Card,,4.3,False,6
BKG000008,USR00160,PRV00146,SVC011,"Austin, TX",2024-04-26,2024-04-29,completed,70.0,0.0,Credit Card,,5.0,False,3
BKG000009,USR00105,PRV00034,SVC012,"Seattle, WA",2023-07-03,2023-07-10,cancelled,85.0,15.0,Apple Pay,provider_unavailable,,False,7
BKG000010,USR00353,PRV00122,SVC002,"Dallas, TX",2023-07-10,2023-07-18,cancelled,165.0,0.0,Credit Card,user_request,,False,8
BKG000011,USR00471,PRV00125,SVC003,"New York, NY",2023-10-10,2023-10-11,completed,185.0,15.0,Debit Card,,4.4,False,1
BKG000012,USR00566,PRV00113,SVC020,"Dallas, TX",2024-04-28,2024-05-03,completed,300.0,5.0,Apple Pay,,3.9,False,5
BKG000013,USR00371,PRV00016,SVC002,"New York, NY",2023-08-12,2023-08-15,cancelled,165.0,0.0,PayPal,no_show,,False,3
BKG000014,USR00234,PRV00021,SVC008,"Chicago, IL",2024-02-19,2024-02-20,completed,110.0,0.0,Credit Card,,3.4,False,1
BKG000015,USR00104,PRV00071,SVC012,"Chicago, IL",2023-01-27,2023-01-29,completed,95.0,0.0,Venmo,,3.4,False,2
BKG000016,USR00167,PRV00019,SVC009,"Los Angeles, CA",2023-12-27,2023-12-29,completed,280.0,0.0,Venmo,,4.2,False,2
BKG000017,USR00074,PRV00030,SVC018,"San Francisco, CA",2024-03-21,2024-03-30,completed,115.0,0.0,Credit Card,,4.0,False,9
